iter	Passed	Remaining
482	635	680
483	637	679
484	638	678
485	640	676
486	641	675
487	643	675
488	645	674
489	646	673
490	648	672
491	649	670
492	650	669
493	651	667
494	654	667
495	655	665
496	656	664
497	658	663
498	659	662
499	660	660
500	662	659
501	663	658
502	665	657
503	666	655
504	668	654
505	669	653
506	671	652
507	672	651
508	674	650
509	675	649
510	676	647
511	678	646
512	680	645
513	681	644
514	682	642
515	683	641
516	685	639
517	686	638
518	687	637
519	688	635
520	690	634
521	691	632
522	692	631
523	693	630
524	695	629
525	697	628
526	698	626
527	699	625
528	700	623
529	701	622
530	703	620
531	704	619
532	705	618
533	707	617
534	708	615
535	709	614
536	711	613
537	712	612
538	714	611
539	716	610
540	717	608
541	719	607
542	720	606
543	722	605
544	723	603
545	724	602
546	726	601
547	727	599
548	728	598
549	730	597
550	731	596
551	733	595
552	735	594
553	736	593
554	737	591
555	739	590
556	742	590
557	743	589
558	745	587
559	746	586
560	747	585
561	749	583
562	750	582
563	751	581
564	753	579
565	754	578
566	755	577
567	757	575
568	758	574
569	759	573
570	761	571
571	762	570
572	764	569
573	765	568
574	766	566
575	768	565
576	769	564
577	771	563
578	772	561
579	773	560
580	775	559
581	776	557
582	778	556
583	779	555
584	781	554
585	782	552
586	784	552
587	786	550
588	787	549
589	789	548
590	790	547
591	792	545
592	794	544
593	795	543
594	796	542
595	798	541
596	799	539
597	801	539
598	803	537
599	805	536
600	806	535
601	808	534
602	809	533
603	811	531
604	812	530
605	814	529
606	816	528
607	817	527
608	819	526
609	821	525
610	822	523
611	825	523
612	826	521
613	827	520
614	829	519
615	830	517
616	831	516
617	832	514
618	834	513
619	835	511
620	836	510
621	837	509
622	839	507
623	840	506
624	841	505
625	843	503
626	844	502
627	845	500
628	846	499
629	848	498
630	849	496
631	850	495
632	852	494
633	853	492
634	855	491
635	856	490
636	857	488
637	860	487
638	861	486
639	863	485
640	864	484
641	865	482
642	867	481
643	868	480
644	869	478
645	870	477
646	872	475
647	874	474
648	875	473
649	876	472
650	878	470
651	879	469
652	881	468
653	882	466
654	883	465
655	885	464
656	886	462
657	887	461
658	889	460
659	890	458
660	892	457
661	893	456
662	894	454
663	895	453
664	897	451
665	898	450
666	899	449
667	900	447
668	902	446
669	903	444
670	904	443
671	905	442
672	906	440
673	908	439
674	909	437
675	910	436
676	911	434
677	912	433
678	914	432
679	915	430
680	916	429
681	917	427
682	918	426
683	920	425
684	921	423
685	922	422
686	924	420
687	925	419
688	926	418
689	927	416
690	928	415
691	930	413
692	931	412
693	932	411
694	934	409
695	935	408
696	936	407
697	937	405
698	938	404
699	940	402
700	941	401
701	942	400
702	944	398
703	945	397
704	946	396
705	948	394
706	949	393
707	950	392
708	951	390
709	952	389
710	954	387
711	955	386
712	957	385
713	958	384
714	959	382
715	961	381
716	962	380
717	964	378
718	966	377
719	968	376
720	969	375
721	970	373
722	972	372
723	973	371
724	975	369
725	976	368
726	977	367
727	979	365
728	980	364
729	981	363
730	983	361
731	984	360
732	986	359
733	987	357
734	989	356
735	990	355
736	991	353
737	993	352
738	994	351
739	996	350
740	997	348
741	1000	347
742	1001	346
743	1003	345
744	1004	343
745	1006	342
746	1007	341
747	1008	339
748	1010	338
749	1011	337
750	1013	335
751	1014	334
752	1016	333
753	1017	332
754	1019	330
755	1020	329
756	1021	328
757	1023	326
758	1025	325
759	1026	324
760	1028	322
761	1029	321
762	1030	320
763	1032	318
764	1034	317
765	1036	316
766	1038	315
767	1039	313
768	1042	313
769	1043	311
770	1045	310
771	1047	309
772	1048	308
773	1050	306
774	1051	305
775	1053	304
776	1054	302
777	1055	301
778	1057	299
779	1058	298
780	1060	297
781	1062	296
782	1063	294
783	1064	293
784	1066	292
785	1068	290
786	1069	289
787	1071	288
788	1072	286
789	1074	285
790	1076	284
791	1078	283
792	1080	281
793	1081	280
794	1082	279
795	1084	277
796	1086	276
797	1088	275
798	1090	274
799	1091	272
800	1093	271
801	1094	270
802	1096	268
803	1097	267
804	1099	266
805	1102	265
806	1104	264
807	1106	262
808	1107	261
809	1109	260
810	1111	259
811	1112	257
812	1114	256
813	1116	255
814	1117	253
815	1119	252
816	1121	251
817	1122	249
818	1123	248
819	1125	247
820	1127	245
821	1128	244
822	1130	243
823	1132	241
824	1134	240
825	1135	239
826	1138	238
827	1139	236
828	1141	235
829	1143	234
830	1144	232
831	1145	231
832	1147	229
833	1148	228
834	1149	227
835	1151	225
836	1152	224
837	1154	223
838	1155	221
839	1156	220
840	1158	219
841	1159	217
842	1161	216
843	1162	214
844	1163	213
845	1165	212
846	1167	210
847	1168	209
848	1170	208
849	1171	206
850	1173	205
851	1174	204
852	1176	202
853	1177	201
854	1179	200
855	1181	198
856	1182	197
857	1184	195
858	1185	194
859	1186	193
860	1188	191
861	1189	190
862	1190	189
863	1192	187
864	1194	186
865	1195	185
866	1197	183
867	1198	182
868	1200	180
869	1201	179
870	1203	178
871	1204	176
872	1205	175
873	1207	174
874	1208	172
875	1209	171
876	1211	169
877	1213	168
878	1214	167
879	1215	165
880	1217	164
881	1218	163
882	1220	161
883	1221	160
884	1223	158
885	1224	157
886	1225	156
887	1226	154
888	1227	153
889	1229	151
890	1230	150
891	1231	149
892	1232	147
893	1233	146
894	1235	144
895	1237	143
896	1238	142
897	1239	140
898	1240	139
899	1241	137
900	1243	136
901	1245	135
902	1246	133
903	1248	132
904	1249	131
905	1250	129
906	1251	128
907	1252	126
908	1254	125
909	1255	124
910	1256	122
911	1257	121
912	1258	119
913	1260	118
914	1261	117
915	1262	115
916	1263	114
917	1264	112
918	1265	111
919	1266	110
920	1268	108
921	1269	107
922	1270	105
923	1271	104
924	1272	103
925	1273	101
926	1276	100
927	1277	99
928	1278	97
929	1279	96
930	1281	94
931	1282	93
932	1283	92
933	1284	90
934	1285	89
935	1286	87
936	1287	86
937	1288	85
938	1290	83
939	1304	83
940	1305	81
941	1306	80
942	1307	79
943	1308	77
944	1309	76
945	1310	74
946	1311	73
947	1312	71
948	1313	70
949	1314	69
950	1315	67
951	1315	66
952	1316	64
953	1317	63
954	1319	62
955	1320	60
956	1321	59
957	1322	57
958	1322	56
959	1323	55
960	1324	53
961	1325	52
962	1326	50
963	1327	49
964	1328	48
965	1329	46
966	1330	45
967	1331	44
968	1332	42
969	1333	41
970	1334	39
971	1335	38
972	1336	37
973	1337	35
974	1338	34
975	1339	32
976	1340	31
977	1341	30
978	1342	28
979	1344	27
980	1345	26
981	1346	24
982	1347	23
983	1348	21
984	1349	20
985	1350	19
986	1352	17
987	1353	16
988	1354	15
989	1355	13
990	1356	12
991	1357	10
992	1359	9
993	1360	8
994	1361	6
995	1363	5
996	1364	4
997	1365	2
998	1366	1
999	1368	0
